beta,sample,sim,high_cheese_mean,high_cheese_sd,low_cheese_mean,low_cheese_sd,p
0,40,92,0.81,0.2,0.9,0.19,0.130155471130333
0,40,93,0.81,0.2,0.84,0.15,0.658957510455731
0,40,94,0.79,0.23,0.79,0.15,0.940093513468722
0,40,95,0.79,0.17,0.78,0.21,0.869181935523827
0,40,96,0.73,0.18,0.77,0.15,0.478537408525171
0,40,97,0.8,0.23,0.89,0.2,0.203395154904116
0,40,98,0.71,0.22,0.82,0.18,0.0862734211026994
0,40,99,0.81,0.28,0.86,0.15,0.48374729020144
0,40,100,0.76,0.21,0.83,0.21,0.325757981525459
0,50,1,0.82,0.18,0.77,0.21,0.400542499314372
0,50,2,0.77,0.18,0.78,0.18,0.817291481658758
0,50,3,0.81,0.18,0.79,0.18,0.63618352436036
0,50,4,0.86,0.21,0.8,0.22,0.300576098360652
0,50,5,0.82,0.26,0.84,0.24,0.861321087064561
0,50,6,0.79,0.15,0.82,0.2,0.518042558670329
0,50,7,0.74,0.16,0.77,0.17,0.507067463851477
0,50,8,0.84,0.22,0.82,0.17,0.699515116825877
0,50,9,0.8,0.18,0.84,0.18,0.502485419754332
0,50,10,0.75,0.2,0.78,0.14,0.616194839939721
0,50,11,0.83,0.22,0.83,0.19,0.979265308065279
0,50,12,0.71,0.15,0.8,0.26,0.106516367020972
0,50,13,0.82,0.28,0.82,0.19,0.950288785301058
0,50,14,0.78,0.2,0.79,0.2,0.868413666867615
0,50,15,0.77,0.19,0.82,0.2,0.425053725650022
0,50,16,0.77,0.18,0.78,0.2,0.932224977075566
0,50,17,0.79,0.2,0.83,0.15,0.494611012157581
0,50,18,0.8,0.18,0.78,0.19,0.65462399366861
0,50,19,0.81,0.19,0.81,0.21,0.918250245875835
0,50,20,0.82,0.18,0.89,0.21,0.252680921232531
0,50,21,0.83,0.17,0.81,0.2,0.811288981791091
0,50,22,0.81,0.25,0.82,0.15,0.896133840409749
0,50,23,0.75,0.3,0.83,0.19,0.468911096707643
0,50,24,0.8,0.18,0.78,0.19,0.743745424508097
0,50,25,0.78,0.25,0.82,0.19,0.562498039561939
0,50,26,0.74,0.17,0.8,0.22,0.285046842865656
0,50,27,0.8,0.16,0.84,0.21,0.432202229114839
0,50,28,0.82,0.24,0.84,0.21,0.669407847358766
0,50,29,0.77,0.26,0.84,0.21,0.361028672315082
0,50,30,0.8,0.17,0.76,0.21,0.498692477149818
0,50,31,0.83,0.21,0.83,0.2,0.997918055679093
0,50,32,0.78,0.21,0.86,0.18,0.188115937626257
0,50,33,0.75,0.17,0.76,0.19,0.86943118243888
0,50,34,0.75,0.24,0.83,0.19,0.191859131467586
0,50,35,0.78,0.18,0.85,0.21,0.258902917529672
0,50,36,0.82,0.19,0.73,0.21,0.122802658004899
0,50,37,0.79,0.21,0.78,0.17,0.854135971427964
0,50,38,0.83,0.23,0.75,0.14,0.180929011212896
0,50,39,0.82,0.2,0.88,0.18,0.259652104619753
0,50,40,0.84,0.17,0.77,0.19,0.233644149219528
0,50,41,0.79,0.2,0.8,0.17,0.855553769610349
0,50,42,0.79,0.22,0.78,0.17,0.876203989866905
0,50,43,0.81,0.2,0.85,0.16,0.532198859831233
0,50,44,0.75,0.17,0.76,0.19,0.917044495899701
0,50,45,0.81,0.18,0.82,0.17,0.970534804855298
0,50,46,0.78,0.19,0.83,0.21,0.368279612996916
0,50,47,0.79,0.22,0.8,0.16,0.883475140290477
0,50,48,0.82,0.15,0.74,0.12,0.0541402948436959
0,50,49,0.76,0.2,0.84,0.16,0.143799210520646
0,50,50,0.81,0.18,0.81,0.22,0.956088039930135
0,50,51,0.8,0.25,0.83,0.2,0.671411298966893
0,50,52,0.69,0.29,0.77,0.25,0.307438303717581
0,50,53,0.74,0.2,0.83,0.27,0.166757432705474
0,50,54,0.88,0.23,0.82,0.2,0.338415623276806
0,50,55,0.73,0.16,0.8,0.21,0.230892679415839
0,50,56,0.81,0.22,0.81,0.16,0.956128411139222
